regime,moneyness,option_type,vol_method,mean_sigma,mean_delta,sd_delta,mean_bs_price,n_obs,vol_method_label
recent,ATM,put,rv_20d,0.12408009660674879,-0.3380861314274756,0.1486438768171426,7.638564604381261,60,20-Day Realized Volatility
recent,ATM,put,rv_60d,0.11306943551425777,-0.33176756360491233,0.15517491526235613,6.563120420845058,60,60-Day Realized Volatility
recent,OTM,call,iv_inception_vix,0.16290000915527345,0.2490379746694385,0.09062200765987682,5.934928109120846,60,VIX-Implied Volatility
recent,OTM,call,iv_inception_vix3m,0.18760000228881835,0.27810759830350806,0.08696173710666245,7.742923833569886,60,VIX3M-Implied Volatility
recent,OTM,call,rv_20d,0.12408009660674879,0.18395228499988542,0.10610425734399241,3.3922075106527867,60,20-Day Realized Volatility
recent,OTM,call,rv_60d,0.11306943551425777,0.16757474820508508,0.08212109131059593,2.405016190156124,60,60-Day Realized Volatility
stress,ATM,call,iv_inception_vix,0.17969999313354493,0.18772749581592404,0.27424618870088213,4.350900000530154,62,VIX-Implied Volatility
stress,ATM,call,iv_inception_vix3m,0.18040000915527343,0.18777742962771027,0.2740598225343685,4.364135767592145,62,VIX3M-Implied Volatility
stress,ATM,call,rv_20d,0.5069726576112166,0.3065989374898844,0.23530092025084362,7.3538657822868005,62,20-Day Realized Volatility
stress,ATM,call,rv_60d,0.5955649552396387,0.08627115291936285,0.04997342756149703,1.4298529155331838,23,60-Day Realized Volatility
stress,ATM,put,iv_inception_vix,0.17969999313354493,-0.8101213350362276,0.2752820669704523,41.07166217275991,62,VIX-Implied Volatility
stress,ATM,put,iv_inception_vix3m,0.18040000915527343,-0.810071401225817,0.27509620852445216,41.08489793982189,62,VIX3M-Implied Volatility
stress,ATM,put,rv_20d,0.5069726576112166,-0.6912498933648016,0.2363920930109153,44.07462795451655,62,20-Day Realized Volatility
stress,ATM,put,rv_60d,0.5955649552396387,-0.9129332873822359,0.05021398441188687,51.58532225013345,23,60-Day Realized Volatility
stress,OTM,call,iv_inception_vix,0.17969999313354493,0.11337334912649617,0.1812045981354156,2.120669541527439,62,VIX-Implied Volatility
stress,OTM,call,iv_inception_vix3m,0.18040000915527343,0.11358774396185749,0.18133718258608933,2.132556343152219,62,VIX3M-Implied Volatility
stress,OTM,call,rv_20d,0.5069726576112166,0.19089702936047778,0.13754013076352975,3.9637315843753917,62,20-Day Realized Volatility
stress,OTM,call,rv_60d,0.5955649552396387,0.04283164924656901,0.03056475064665384,0.6580434809829745,23,60-Day Realized Volatility
