vol_method,episode_id,n_days,first_date,last_date,min_tau,max_tau,min_delta,max_delta,first_price,last_price,mean_sigma
iv_inception_vix,SPY_stress_P_ATM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,-0.999951695788807,-0.28096121559437565,11.394131572998958,33.533221518313496,0.17969999313354493
iv_inception_vix3m,SPY_calm_C_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.4089552975758619,0.9999639338071604,19.59826848985213,29.274988804195686,0.26780000686645505
iv_inception_vix3m,SPY_calm_C_OTM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.27504812938279233,0.962189318340693,12.181215792637346,10.364301265964286,0.26780000686645505
iv_inception_vix3m,SPY_calm_P_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,-0.5879935993064987,-1.1663642531864872e-07,21.222489828885784,1.244372371655961e-07,0.26780000686645505
iv_inception_vix3m,SPY_highvol_C_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.5427008718246074,21.228069923209517,5.2442762232915207e-48,0.24209999084472655
iv_inception_vix3m,SPY_highvol_C_OTM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.3790007521920004,12.322134918189505,5.0029770719301296e-76,0.24209999084472655
iv_inception_vix3m,SPY_highvol_P_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,-0.9999612280406015,-0.4538929438554725,22.338939046378783,75.74476962236787,0.24209999084472655
iv_inception_vix3m,SPY_recent_C_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.3717500634603453,0.9914866327110214,26.441336023198858,22.489811733663828,0.18760000228881835
iv_inception_vix3m,SPY_recent_C_OTM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.06954541998519108,0.42334300408649705,12.82775957499814,0.5502740780777486,0.18760000228881835
iv_inception_vix3m,SPY_recent_P_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,-0.6270156126861475,-0.008444753739738655,21.93628408234457,0.02706620391702952,0.18760000228881835
iv_inception_vix3m,SPY_stress_C_ATM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,0.0,0.7149172213148149,11.367095011687667,7.178977349670522e-32,0.18040000915527343
iv_inception_vix3m,SPY_stress_C_OTM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,0.0,0.48775235557880675,5.379982641437266,1.7541464771057428e-63,0.18040000915527343
iv_inception_vix3m,SPY_stress_P_ATM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,-0.999951695788807,-0.28161083266965226,11.438349148523429,33.533221518313496,0.18040000915527343
rv_20d,SPY_calm_C_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.32916469449887353,0.9999640504435857,11.490678017817118,29.27498867975845,0.13965842907339146
rv_20d,SPY_calm_C_OTM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.14784724053844758,0.9995269485329883,4.869215759762838,10.27534968528613,0.13965842907339146
rv_20d,SPY_calm_P_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,-0.667784202383487,0.0,13.114899356850742,4.692679281540893e-23,0.13965842907339146
rv_20d,SPY_highvol_C_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.543087078556813,20.145499044218838,5.405250236636592e-31,0.27031017263338053
rv_20d,SPY_highvol_C_OTM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.3451555630467839,11.315094441019056,9.713121456207117e-49,0.27031017263338053
rv_20d,SPY_highvol_P_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,-0.9999612280406015,-0.4535067371232668,21.256368167388104,75.74476962236787,0.27031017263338053
rv_20d,SPY_recent_C_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.3264191661895328,0.9999312660010189,10.602786132550762,22.462745626462038,0.12408009660674879
rv_20d,SPY_recent_C_OTM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.004919663793975034,0.390332965576306,0.7799601673030807,0.006858048981584375,0.12408009660674879
