episode_id,regime,moneyness,option_type,vol_method,rebalance_frequency,rebalance_step_trading_days,transaction_cost_bps,n_marking_days,mean_abs_mtm_error,rmse_mtm_error,max_abs_mtm_error,avg_abs_delta_trade,n_rebalance_days,total_transaction_cost,total_turnover_dollars,settlement_date,settlement_stock_price,settlement_option_payoff,terminal_payoff,terminal_hedging_pnl,settlement_price_source,abs_terminal_hedging_pnl
SPY_highvol_C_ATM,highvol,ATM,call,iv_inception_vix3m,every_2_days,2,5.0,62,1.7365108518321892,1.9731849684399099,2.687420407043831,0.028710387726304406,31,0.38138447144208604,762.7689428841719,2022-07-01,381.239990234375,0.0,0.0,-2.5459209531031464,exact_expiration_close,2.5459209531031464
SPY_highvol_C_ATM,highvol,ATM,call,iv_inception_vix3m,weekly,5,0.0,62,1.149546149820958,1.3766596309122048,2.5733299804187233,0.018166036090165275,13,0.0,485.02620918691224,2022-07-01,381.239990234375,0.0,0.0,-0.0976894191183125,exact_expiration_close,0.0976894191183125
SPY_highvol_C_ATM,highvol,ATM,call,iv_inception_vix3m,weekly,5,1.0,62,1.1319133162071209,1.3459102830681804,2.5280535905122896,0.018166036090165275,13,0.04850262091869123,485.02620918691224,2022-07-01,381.239990234375,0.0,0.0,-0.14629613136760783,exact_expiration_close,0.14629613136760783
SPY_highvol_C_ATM,highvol,ATM,call,iv_inception_vix3m,weekly,5,5.0,62,1.0616055916819613,1.2279557762336313,2.3469480308870665,0.018166036090165275,13,0.24251310459345612,485.02620918691224,2022-07-01,381.239990234375,0.0,0.0,-0.34072298036424864,exact_expiration_close,0.34072298036424864
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,daily,1,0.0,62,4.129221579957961,4.390350496004746,6.887184667552567,0.039566363348334285,62,0.0,1047.5735065834722,2022-07-01,381.239990234375,0.0,0.0,-3.529576963633197,exact_expiration_close,3.529576963633197
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,daily,1,1.0,62,4.181372157736509,4.44124686409667,6.97360001163117,0.039566363348334285,62,0.10475735065834715,1047.5735065834722,2022-07-01,381.239990234375,0.0,0.0,-3.634546789231856,exact_expiration_close,3.634546789231856
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,daily,1,5.0,62,4.389974468850904,4.653223160134593,7.319261387945936,0.039566363348334285,62,0.523786753291736,1047.5735065834722,2022-07-01,381.239990234375,0.0,0.0,-4.054426091626752,exact_expiration_close,4.054426091626752
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,every_2_days,2,0.0,62,3.955940252454176,4.2617885119427426,6.404167174596438,0.0309010555433839,31,0.0,820.5641005336589,2022-07-01,381.239990234375,0.0,0.0,-3.149542090253175,exact_expiration_close,3.149542090253175
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,every_2_days,2,1.0,62,3.997318352386345,4.299936252326786,6.472203293221362,0.0309010555433839,31,0.08205641005336589,820.5641005336589,2022-07-01,381.239990234375,0.0,0.0,-3.2317677151503093,exact_expiration_close,3.2317677151503093
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,every_2_days,2,5.0,62,4.162830752115129,4.458545047340435,6.754558787704191,0.0309010555433839,31,0.4102820502668296,820.5641005336589,2022-07-01,381.239990234375,0.0,0.0,-3.560670214739076,exact_expiration_close,3.560670214739076
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,weekly,5,0.0,62,2.1802672144518627,2.887899942087823,6.357179551997632,0.01770838867426802,13,0.0,475.3616841267026,2022-07-01,381.239990234375,0.0,0.0,0.992748495935414,exact_expiration_close,0.992748495935414
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,weekly,5,1.0,62,2.160622984461402,2.8649022530038115,6.325821586492964,0.01770838867426802,13,0.047536168412670256,475.3616841267026,2022-07-01,381.239990234375,0.0,0.0,0.9451111066619571,exact_expiration_close,0.9451111066619571
SPY_highvol_C_ATM,highvol,ATM,call,rv_20d,weekly,5,5.0,62,2.082046064499616,2.7763217380802283,6.2003897244744905,0.01770838867426802,13,0.23768084206335138,475.3616841267026,2022-07-01,381.239990234375,0.0,0.0,0.7545615495682858,exact_expiration_close,0.7545615495682858
